Player Name,Class,Cleared,Clear Link
sc_Slayerage,Warlock,True,https://raid.report/pgcr/258758374
Skullix,Warlock,True,https://raid.report/pgcr/258758374
Eavr,Hunter,True,https://raid.report/pgcr/258758374
Lil_Noahhh,,True,https://raid.report/pgcr/258758374
Epicookiez,Titan,True,https://raid.report/pgcr/258758374
Dom,Hunter,True,https://raid.report/pgcr/258758374
Gigz,,True,https://raid.report/pgcr/259145575
Heaven,Titan,True,https://raid.report/pgcr/259145575
Riot,Warlock,True,https://raid.report/pgcr/259145575
zCursed,Hunter,True,https://raid.report/pgcr/259145575
Vendetta,Warlock,True,https://raid.report/pgcr/259145575
Gamesager,Titan,True,https://raid.report/pgcr/259145575
Gunny629,Titan,True,https://raid.report/pgcr/259307754
Rebelize,Warlock,True,https://raid.report/pgcr/259307754
Teawrex,Warlock,True,https://raid.report/pgcr/259307754
ProfessorBroman,Titan,True,https://raid.report/pgcr/259307754
Char,Hunter,True,https://raid.report/pgcr/259307754
Gothalion,Hunter,True,https://raid.report/pgcr/259307754
Banned_Wipe,Titan,True,https://raid.report/pgcr/259464066
TaRDy,Warlock,True,https://raid.report/pgcr/259464066
Wasabi,Titan,True,https://raid.report/pgcr/259464066
Kujay,Titan,True,https://raid.report/pgcr/259464066
JakeX,Titan,True,https://raid.report/pgcr/259464066
LUCKYY10P,,True,https://raid.report/pgcr/259464066
Rookie,Warlock,True,https://raid.report/pgcr/259544851
Inspire,Hunter,True,https://raid.report/pgcr/259544851
Lyctum,Titan,True,https://raid.report/pgcr/259544851
Omen,Titan,True,https://raid.report/pgcr/259544851
Slabakker,Warlock,True,https://raid.report/pgcr/259544851
Zennarion,Hunter,True,https://raid.report/pgcr/259544851
IgKnight,Hunter,True,https://raid.report/pgcr/259583891
Lunar,Warlock,True,https://raid.report/pgcr/259583891
ninjy,Hunter,True,https://raid.report/pgcr/259583891
Jugzilla,Warlock,True,https://raid.report/pgcr/259583891
Joker,Titan,True,https://raid.report/pgcr/259583891
lvl 8 pidgey,Titan,True,https://raid.report/pgcr/259583891
givemebackmyjengaset,Warlock,True,https://raid.report/pgcr/259822773
Sonic,,True,https://raid.report/pgcr/259822773
Flankxr,Warlock,True,https://raid.report/pgcr/259822773
Guardian7231,Titan,True,https://raid.report/pgcr/259822773
DrLupo,Hunter,True,https://raid.report/pgcr/259822773
Zerkky,Hunter,True,https://raid.report/pgcr/259822773
Drew,Warlock,True,https://raid.report/pgcr/259942006
Dinkle,Hunter,True,https://raid.report/pgcr/259942006
P.,Hunter,True,https://raid.report/pgcr/259942006
Terror,Titan,True,https://raid.report/pgcr/259942006
invisiblx,Warlock,True,https://raid.report/pgcr/259942006
Lanza,Hunter,True,https://raid.report/pgcr/259942006
Clover,Titan,True,https://raid.report/pgcr/259898148
Nut Master,Warlock,True,https://raid.report/pgcr/259898148
Datto,Titan,True,https://raid.report/pgcr/259898148
Guardian3483,Titan,True,https://raid.report/pgcr/259898148
Leopard,Hunter,True,https://raid.report/pgcr/259898148
Fitzy,Hunter,True,https://raid.report/pgcr/259898148
Lightnight,Warlock,True,https://raid.report/pgcr/260137764
ttv-flacoscott,Hunter,True,https://raid.report/pgcr/260137764
PhoHoe,Hunter,True,https://raid.report/pgcr/260137764
bluntsmoker1990,Titan,True,https://raid.report/pgcr/260137764
voltic94,Warlock,True,https://raid.report/pgcr/260137764
vudoo-,Hunter,True,https://raid.report/pgcr/260137764
W1SH 911,Titan,True,https://raid.report/pgcr/260270457
DestroyOPEC,Warlock,True,https://raid.report/pgcr/260270457
AfroJesus,Warlock,True,https://raid.report/pgcr/260270457
Throwbo,,True,https://raid.report/pgcr/260270457
Xiru,Titan,True,https://raid.report/pgcr/260270457
Ninja Sakura,Hunter,True,https://raid.report/pgcr/260270457
ZL_Chriss,Warlock,True,https://raid.report/pgcr/260422667
Dios,Warlock,True,https://raid.report/pgcr/260422667
GeneralMatsumoto,Titan,True,https://raid.report/pgcr/260422667
Psychopant,Warlock,True,https://raid.report/pgcr/260422667
Krvzxr,Hunter,True,https://raid.report/pgcr/260422667
VioIe,Warlock,True,https://raid.report/pgcr/260422667
G8R,Warlock,True,https://raid.report/pgcr/260465714
Cosmic,Warlock,True,https://raid.report/pgcr/260465714
Killomainia,Titan,True,https://raid.report/pgcr/260465714
Jabs,,True,https://raid.report/pgcr/260465714
Matthew,Titan,True,https://raid.report/pgcr/260465714
markstealth,Hunter,True,https://raid.report/pgcr/260465714
SlasheRAL-,Warlock,True,https://raid.report/pgcr/260724492
Hi Im DangLez,Hunter,True,https://raid.report/pgcr/260724492
Classic,Hunter,True,https://raid.report/pgcr/260724492
cgjgbpro,Warlock,True,https://raid.report/pgcr/260724492
MJCheen-,Hunter,True,https://raid.report/pgcr/260724492
Temp,Hunter,True,https://raid.report/pgcr/260724492
Sculley,Titan,True,https://raid.report/pgcr/260877965
EmBarrysing,,True,https://raid.report/pgcr/260877965
