Player Name,Class,Cleared,Clear Link
Vendetta,Hunter,True,https://raid.report/pgcr/3119825323
Riot,Titan,True,https://raid.report/pgcr/3119825323
Gigz,Warlock,True,https://raid.report/pgcr/3119825323
Gamesager,Warlock,True,https://raid.report/pgcr/3119825323
Icecide,Titan,True,https://raid.report/pgcr/3119825323
Lunar,Hunter,True,https://raid.report/pgcr/3119825323
Schendzie,Warlock,True,https://raid.report/pgcr/3119980292
Edwin,Hunter,True,https://raid.report/pgcr/3119980292
Kaizer,Titan,True,https://raid.report/pgcr/3119980292
Noviq,Hunter,True,https://raid.report/pgcr/3119980292
Ouch,Warlock,True,https://raid.report/pgcr/3119980292
Wami,Warlock,True,https://raid.report/pgcr/3119980292
Eon,Warlock,True,https://raid.report/pgcr/3119989341
Phammy,Hunter,True,https://raid.report/pgcr/3119989341
Pοοn,Warlock,True,https://raid.report/pgcr/3119989341
Jukes,Warlock,True,https://raid.report/pgcr/3119989341
Frank UK,Hunter,True,https://raid.report/pgcr/3119989341
Ferdog,Titan,True,https://raid.report/pgcr/3119989341
It's Muffin Time,Hunter,True,https://raid.report/pgcr/3120016287
Narhzul,Titan,True,https://raid.report/pgcr/3120016287
ExBlack,Warlock,True,https://raid.report/pgcr/3120016287
Sander,Warlock,True,https://raid.report/pgcr/3120016287
Monks,Hunter,True,https://raid.report/pgcr/3120016287
Jake,Titan,True,https://raid.report/pgcr/3120016287
Semi,Titan,True,https://raid.report/pgcr/3120049734
Kool,Warlock,True,https://raid.report/pgcr/3120049734
Voodoo,Titan,True,https://raid.report/pgcr/3120049734
Sat,Hunter,True,https://raid.report/pgcr/3120049734
Lwaj,Warlock,True,https://raid.report/pgcr/3120049734
Gomeyy,Warlock,True,https://raid.report/pgcr/3120049734
Anxious,Titan,True,https://raid.report/pgcr/3120185247
Bindi,Warlock,True,https://raid.report/pgcr/3120185247
John Destiny,Warlock,True,https://raid.report/pgcr/3120185247
Macaque Go Hard,Hunter,True,https://raid.report/pgcr/3120185247
WizardCow,Hunter,True,https://raid.report/pgcr/3120185247
Sotosolice,Titan,True,https://raid.report/pgcr/3120185247
Sculley,Hunter,True,https://raid.report/pgcr/3120213955
[Classified],,True,https://raid.report/pgcr/3120213955
Trice,Warlock,True,https://raid.report/pgcr/3120213955
BanterStorm,Hunter,True,https://raid.report/pgcr/3120213955
Oost,Titan,True,https://raid.report/pgcr/3120213955
SpinnFX,Titan,True,https://raid.report/pgcr/3120213955
Mtashed,Titan,True,https://raid.report/pgcr/3120240480
DwaynOnFire,Hunter,True,https://raid.report/pgcr/3120240480
iFear the Bear,Warlock,True,https://raid.report/pgcr/3120240480
Smokey,Hunter,True,https://raid.report/pgcr/3120240480
LUCKYY10P,Titan,True,https://raid.report/pgcr/3120240480
Banned_Wipe,Warlock,True,https://raid.report/pgcr/3120240480
Evaqs,Warlock,True,https://raid.report/pgcr/3120274082
Lightnight,Titan,True,https://raid.report/pgcr/3120274082
Axentrics,Warlock,True,https://raid.report/pgcr/3120274082
Hanz,Warlock,True,https://raid.report/pgcr/3120274082
Rogue,Warlock,True,https://raid.report/pgcr/3120274082
voltic94,Hunter,True,https://raid.report/pgcr/3120274082
aAron,Warlock,True,https://raid.report/pgcr/3120288895
Oli,Hunter,True,https://raid.report/pgcr/3120288895
Ruard de Beer,Hunter,True,https://raid.report/pgcr/3120288895
Stephen,Titan,True,https://raid.report/pgcr/3120288895
RoyalStigness,Warlock,True,https://raid.report/pgcr/3120288895
Riskerchiken,Titan,True,https://raid.report/pgcr/3120288895
Sweatcicle,Titan,True,https://raid.report/pgcr/3120322238
Modern,Hunter,True,https://raid.report/pgcr/3120322238
Gladd,Warlock,True,https://raid.report/pgcr/3120322238
Chevy,Warlock,True,https://raid.report/pgcr/3120322238
Ehroar,Warlock,True,https://raid.report/pgcr/3120322238
FleshCrunch,Hunter,True,https://raid.report/pgcr/3120322238
WNxDelirium,Warlock,True,https://raid.report/pgcr/3120326365
Golden,Hunter,True,https://raid.report/pgcr/3120326365
BigBadDave7,Titan,True,https://raid.report/pgcr/3120326365
Guardian,Titan,True,https://raid.report/pgcr/3120326365
CG,Warlock,True,https://raid.report/pgcr/3120326365
Akada,Titan,True,https://raid.report/pgcr/3120326365
Spaghetiman,Hunter,True,https://raid.report/pgcr/3120369731
[Classified],,True,https://raid.report/pgcr/3120369731
mithranor,Titan,True,https://raid.report/pgcr/3120369731
Raiiin,Titan,True,https://raid.report/pgcr/3120369731
Blazespot,Warlock,True,https://raid.report/pgcr/3120369731
Tagg,Hunter,True,https://raid.report/pgcr/3120369731
Sonic,Warlock,True,https://raid.report/pgcr/3120387418
gaffa,Hunter,True,https://raid.report/pgcr/3120387418
Guardian7231,Warlock,True,https://raid.report/pgcr/3120387418
Instinct,Warlock,True,https://raid.report/pgcr/3120387418
Chomps,Titan,True,https://raid.report/pgcr/3120387418
LMNO,Titan,True,https://raid.report/pgcr/3120387418
[Classified],,False,https://raid.report/pgcr/3120387418
Gold,Warlock,True,https://raid.report/pgcr/3120411782
VAIX,Titan,True,https://raid.report/pgcr/3120411782
TheDeathMile,Warlock,True,https://raid.report/pgcr/3120411782
MerMAN,Hunter,True,https://raid.report/pgcr/3120411782
DumbleDavid,Warlock,True,https://raid.report/pgcr/3120411782
tman4halo,Hunter,True,https://raid.report/pgcr/3120411782
Kai,Warlock,True,https://raid.report/pgcr/3120420730
Vex,Hunter,True,https://raid.report/pgcr/3120420730
Osiris,Hunter,True,https://raid.report/pgcr/3120420730
[Classified],,True,https://raid.report/pgcr/3120420730
Flux,Titan,True,https://raid.report/pgcr/3120420730
Wumbo,Titan,True,https://raid.report/pgcr/3120420730
ヌブ,Warlock,True,https://raid.report/pgcr/3120440635
Husky,Warlock,True,https://raid.report/pgcr/3120440635
Yetzel,Titan,True,https://raid.report/pgcr/3120440635
Ship,Hunter,True,https://raid.report/pgcr/3120440635
Defeat,Hunter,True,https://raid.report/pgcr/3120440635
Epic,Titan,True,https://raid.report/pgcr/3120440635
VAdiC,Titan,True,https://raid.report/pgcr/3120452670
Phix,Titan,True,https://raid.report/pgcr/3120452670
Flux,Hunter,True,https://raid.report/pgcr/3120452670
Miia,Warlock,True,https://raid.report/pgcr/3120452670
Oryx,Warlock,True,https://raid.report/pgcr/3120452670
Dub,Titan,True,https://raid.report/pgcr/3120452670
tttrouttt,Warlock,True,https://raid.report/pgcr/3120500104
Gernader Jake,Hunter,True,https://raid.report/pgcr/3120500104
Lunarated,Titan,True,https://raid.report/pgcr/3120500104
Waviest,Hunter,True,https://raid.report/pgcr/3120500104
Gaming,Warlock,True,https://raid.report/pgcr/3120500104
LordDjbj,Warlock,True,https://raid.report/pgcr/3120500104
Datto,Titan,True,https://raid.report/pgcr/3120607539
iihavetoes,Hunter,True,https://raid.report/pgcr/3120607539
Clover,Titan,True,https://raid.report/pgcr/3120607539
[Classified],,True,https://raid.report/pgcr/3120607539
Mork,Warlock,True,https://raid.report/pgcr/3120607539
Sneak,Hunter,True,https://raid.report/pgcr/3120607539
Mikey,Warlock,True,https://raid.report/pgcr/3120594159
Rhino,Titan,True,https://raid.report/pgcr/3120594159
Ubi,Hunter,True,https://raid.report/pgcr/3120594159
Wheelzz,Warlock,True,https://raid.report/pgcr/3120594159
Wolf,Titan,True,https://raid.report/pgcr/3120594159
yockdog,Titan,True,https://raid.report/pgcr/3120594159
Flofi,Hunter,True,https://raid.report/pgcr/3120638635
Luis,Titan,True,https://raid.report/pgcr/3120638635
PXL_Shoot3r,Warlock,True,https://raid.report/pgcr/3120638635
Schrank,Titan,True,https://raid.report/pgcr/3120638635
Hawk,Warlock,True,https://raid.report/pgcr/3120638635
Sura,Warlock,True,https://raid.report/pgcr/3120638635
addizero,Warlock,True,https://raid.report/pgcr/3120654548
Angel,Titan,True,https://raid.report/pgcr/3120654548
fate6,Hunter,True,https://raid.report/pgcr/3120654548
Oxiidate,Titan,True,https://raid.report/pgcr/3120654548
ScubaBrew,Titan,True,https://raid.report/pgcr/3120654548
Manoj,Warlock,True,https://raid.report/pgcr/3120654548
Drewsky,Hunter,True,https://raid.report/pgcr/3120724024
Drak,Warlock,True,https://raid.report/pgcr/3120724024
Exalted,Warlock,True,https://raid.report/pgcr/3120724024
Snerv,Titan,True,https://raid.report/pgcr/3120724024
ChasecL0cK,Warlock,True,https://raid.report/pgcr/3120724024
Panacottan,Warlock,True,https://raid.report/pgcr/3120724024
RyTown,Warlock,True,https://raid.report/pgcr/3120730821
Grumpy,Hunter,True,https://raid.report/pgcr/3120730821
itgKIRA,Hunter,True,https://raid.report/pgcr/3120730821
Ami,Warlock,True,https://raid.report/pgcr/3120730821
3Dsalmon,Titan,True,https://raid.report/pgcr/3120730821
Flukey,Hunter,True,https://raid.report/pgcr/3120730821
Chaotic,Hunter,True,https://raid.report/pgcr/3120748219
Papa_Helix,Warlock,True,https://raid.report/pgcr/3120748219
RikiMartini,Warlock,True,https://raid.report/pgcr/3120748219
BlurredLimes,Hunter,True,https://raid.report/pgcr/3120748219
Fake,Titan,True,https://raid.report/pgcr/3120748219
Jirg,Titan,True,https://raid.report/pgcr/3120748219
Slingerstand,Warlock,True,https://raid.report/pgcr/3120753850
Truly,Hunter,True,https://raid.report/pgcr/3120753850
Gaffer,Warlock,True,https://raid.report/pgcr/3120753850
disco,Warlock,True,https://raid.report/pgcr/3120753850
TheHappySmash,Titan,True,https://raid.report/pgcr/3120753850
War,Titan,True,https://raid.report/pgcr/3120753850
