Player Name,Class,Cleared,Clear Link
Modern,Titan,True,https://raid.report/pgcr/1635067531
Sweatcicle,Titan,True,https://raid.report/pgcr/1635067531
Bindi,Warlock,True,https://raid.report/pgcr/1635067531
Ehroar,Warlock,True,https://raid.report/pgcr/1635067531
Gladd,Titan,True,https://raid.report/pgcr/1635067531
Eon,Warlock,True,https://raid.report/pgcr/1635067531
FleshCrunch,Hunter,False,https://raid.report/pgcr/1635067531
Teawrex,Warlock,True,https://raid.report/pgcr/1635292839
Char,Hunter,True,https://raid.report/pgcr/1635292839
Gunny629,Titan,True,https://raid.report/pgcr/1635292839
Rebelize,Warlock,True,https://raid.report/pgcr/1635292839
Gothalion,Hunter,True,https://raid.report/pgcr/1635292839
ProfessorBroman,Titan,True,https://raid.report/pgcr/1635292839
Guardian,Titan,True,https://raid.report/pgcr/1635557561
CG,Warlock,True,https://raid.report/pgcr/1635557561
Rhino,Titan,True,https://raid.report/pgcr/1635557561
Akada,Hunter,True,https://raid.report/pgcr/1635557561
yockdog,Titan,True,https://raid.report/pgcr/1635557561
trem,Titan,True,https://raid.report/pgcr/1635557561
Riot,Hunter,True,https://raid.report/pgcr/1635888937
Gigz,Warlock,True,https://raid.report/pgcr/1635888937
Sneak,Hunter,True,https://raid.report/pgcr/1635888937
Snerv,Titan,True,https://raid.report/pgcr/1635888937
A Flock of Ducks,Warlock,True,https://raid.report/pgcr/1635888937
Vendetta,Hunter,True,https://raid.report/pgcr/1635888937
iihavetoes,Hunter,True,https://raid.report/pgcr/1636065905
Clover,Titan,True,https://raid.report/pgcr/1636065905
Watts,Hunter,True,https://raid.report/pgcr/1636065905
Cyth,Titan,True,https://raid.report/pgcr/1636065905
Lwaj,Warlock,True,https://raid.report/pgcr/1636065905
Mighty,Warlock,True,https://raid.report/pgcr/1636065905
Mikey,Hunter,True,https://raid.report/pgcr/1636121214
Wolf,Titan,True,https://raid.report/pgcr/1636121214
Wheelzz,Titan,True,https://raid.report/pgcr/1636121214
JamesWerk,Hunter,True,https://raid.report/pgcr/1636121214
Ford,Warlock,True,https://raid.report/pgcr/1636121214
TheKikoXP,Titan,True,https://raid.report/pgcr/1636121214
Slayerage,Hunter,True,https://raid.report/pgcr/1636133272
Noah,Hunter,True,https://raid.report/pgcr/1636133272
Beamen,Titan,True,https://raid.report/pgcr/1636133272
nik,Warlock,True,https://raid.report/pgcr/1636133272
Skullix,Hunter,True,https://raid.report/pgcr/1636133272
Dom,Warlock,True,https://raid.report/pgcr/1636133272
Dom,Hunter,False,https://raid.report/pgcr/1636133272
Chevy,Warlock,True,https://raid.report/pgcr/1636558468
Frank UK,Hunter,True,https://raid.report/pgcr/1636558468
Ferdog,Warlock,True,https://raid.report/pgcr/1636558468
Raya,Titan,True,https://raid.report/pgcr/1636558468
Eclipse,Titan,True,https://raid.report/pgcr/1636558468
Gooey,Warlock,True,https://raid.report/pgcr/1636558468
Phammy,Hunter,False,https://raid.report/pgcr/1636558468
Abdulla,Hunter,False,https://raid.report/pgcr/1636558468
WiseSam,Titan,True,https://raid.report/pgcr/1636882661
RedSox007,Warlock,True,https://raid.report/pgcr/1636882661
Inked,Hunter,True,https://raid.report/pgcr/1636882661
BlazeBoss,Warlock,True,https://raid.report/pgcr/1636882661
atreyeu87,Titan,True,https://raid.report/pgcr/1636882661
nateandpaul,Warlock,True,https://raid.report/pgcr/1636882661
Jazz,Warlock,True,https://raid.report/pgcr/1636883185
Balla,Hunter,True,https://raid.report/pgcr/1636883185
Cremation,Titan,True,https://raid.report/pgcr/1636883185
pxMxq,Titan,True,https://raid.report/pgcr/1636883185
Steve Shay,Titan,True,https://raid.report/pgcr/1636883185
Fever,Titan,True,https://raid.report/pgcr/1636883185
Icecide,Titan,False,https://raid.report/pgcr/1636883185
[Classified],,False,https://raid.report/pgcr/1636883185
Fever,Warlock,False,https://raid.report/pgcr/1636883185
Slayerage,Warlock,True,https://raid.report/pgcr/1637260733
Datto,Titan,True,https://raid.report/pgcr/1637260733
Char,Hunter,True,https://raid.report/pgcr/1637260733
Gigz,Hunter,True,https://raid.report/pgcr/1637260733
Beamen,Hunter,True,https://raid.report/pgcr/1637260733
nik,Titan,True,https://raid.report/pgcr/1637260733
Gigz,Warlock,False,https://raid.report/pgcr/1637260733
mpuchar,Titan,True,https://raid.report/pgcr/1637642048
Riven,Hunter,True,https://raid.report/pgcr/1637642048
A_K_Madden,Titan,True,https://raid.report/pgcr/1637642048
Twengkie,Warlock,True,https://raid.report/pgcr/1637642048
Coluejack,Hunter,True,https://raid.report/pgcr/1637642048
IronBeagle,Hunter,True,https://raid.report/pgcr/1637642048
natetherock,Hunter,True,https://raid.report/pgcr/1637799898
Shivvys,Warlock,True,https://raid.report/pgcr/1637799898
Uin,Hunter,True,https://raid.report/pgcr/1637799898
Teal'c,Titan,True,https://raid.report/pgcr/1637799898
Nike,Titan,True,https://raid.report/pgcr/1637799898
ATP,Hunter,True,https://raid.report/pgcr/1637799898
Venzarr,Titan,False,https://raid.report/pgcr/1637799898
