Player Name,Class,Cleared,Clear Link
Slap,Warlock,True,https://raid.report/pgcr/8513648524
Saltagreppo,Titan,True,https://raid.report/pgcr/8513648524
Kyros,Warlock,True,https://raid.report/pgcr/8513648524
Cruz,Titan,True,https://raid.report/pgcr/8513648524
Moople,Warlock,True,https://raid.report/pgcr/8513648524
Quazz,Hunter,True,https://raid.report/pgcr/8513648524
boop,Titan,True,https://raid.report/pgcr/8513712001
Grangalf,Titan,True,https://raid.report/pgcr/8513712001
Roen,Warlock,True,https://raid.report/pgcr/8513712001
Kai,Titan,True,https://raid.report/pgcr/8513712001
SK,Titan,True,https://raid.report/pgcr/8513712001
Osiris,Warlock,True,https://raid.report/pgcr/8513712001
Eron1x,Warlock,True,https://raid.report/pgcr/8513743043
buster,Warlock,True,https://raid.report/pgcr/8513743043
B3h1nd Y0u,Warlock,True,https://raid.report/pgcr/8513743043
Loges,Titan,True,https://raid.report/pgcr/8513743043
Xunto,Hunter,True,https://raid.report/pgcr/8513743043
Cap,Warlock,True,https://raid.report/pgcr/8513743043
SiegeDancers,Titan,True,https://raid.report/pgcr/8513860962
Wheelzz,Warlock,True,https://raid.report/pgcr/8513860962
baxlyy,Warlock,True,https://raid.report/pgcr/8513860962
Mikey,Hunter,True,https://raid.report/pgcr/8513860962
Schendzie,Warlock,True,https://raid.report/pgcr/8513860962
Wolf,Warlock,True,https://raid.report/pgcr/8513860962
Fich,Titan,True,https://raid.report/pgcr/8513875119
Romah,Warlock,True,https://raid.report/pgcr/8513875119
Protex,Warlock,True,https://raid.report/pgcr/8513875119
salty,Hunter,True,https://raid.report/pgcr/8513875119
FredTheSweat,Warlock,True,https://raid.report/pgcr/8513875119
SiC,Warlock,True,https://raid.report/pgcr/8513875119
Grayellow,Hunter,True,https://raid.report/pgcr/8513884608
Whiz,Warlock,True,https://raid.report/pgcr/8513884608
Pizza,Warlock,True,https://raid.report/pgcr/8513884608
Hal,Warlock,True,https://raid.report/pgcr/8513884608
Soothsayer,Titan,True,https://raid.report/pgcr/8513884608
Evan,Titan,True,https://raid.report/pgcr/8513884608
Luti,Hunter,True,https://raid.report/pgcr/8513962499
p2wr,Warlock,True,https://raid.report/pgcr/8513962499
dinseN,Warlock,True,https://raid.report/pgcr/8513962499
Jonn,Warlock,True,https://raid.report/pgcr/8513962499
Ultra,Hunter,True,https://raid.report/pgcr/8513962499
Nubu,Titan,True,https://raid.report/pgcr/8513962499
CrspyChicken,Titan,True,https://raid.report/pgcr/8514013791
RumoMax,Titan,True,https://raid.report/pgcr/8514013791
Fuyachaka,Titan,True,https://raid.report/pgcr/8514013791
Kenyusa,Warlock,True,https://raid.report/pgcr/8514013791
Jigsaw,Titan,True,https://raid.report/pgcr/8514013791
TaLi,Warlock,True,https://raid.report/pgcr/8514013791
RyTown,Warlock,True,https://raid.report/pgcr/8514018762
Gigz,Warlock,True,https://raid.report/pgcr/8514018762
Gamesager,Titan,True,https://raid.report/pgcr/8514018762
Vendetta,Hunter,True,https://raid.report/pgcr/8514018762
Riot,Warlock,True,https://raid.report/pgcr/8514018762
Lunar,Hunter,True,https://raid.report/pgcr/8514018762
ben.,Warlock,True,https://raid.report/pgcr/8514027307
Auru,Titan,True,https://raid.report/pgcr/8514027307
Brutzelmann,Warlock,True,https://raid.report/pgcr/8514027307
Borat,Hunter,True,https://raid.report/pgcr/8514027307
Will,Warlock,True,https://raid.report/pgcr/8514027307
Styx,Hunter,True,https://raid.report/pgcr/8514027307
Gambits Casino,Warlock,True,https://raid.report/pgcr/8514028650
Gernader Jake,Hunter,True,https://raid.report/pgcr/8514028650
Lunarated,Titan,True,https://raid.report/pgcr/8514028650
Waviest,Warlock,True,https://raid.report/pgcr/8514028650
Banned_Wipe,Titan,True,https://raid.report/pgcr/8514028650
LordDjbj,Hunter,True,https://raid.report/pgcr/8514028650
Modern,Warlock,True,https://raid.report/pgcr/8514059961
Sweatcicle,Warlock,True,https://raid.report/pgcr/8514059961
Ehroar,Warlock,True,https://raid.report/pgcr/8514059961
Icecide,Warlock,True,https://raid.report/pgcr/8514059961
Gladd,Warlock,True,https://raid.report/pgcr/8514059961
Ember,Warlock,True,https://raid.report/pgcr/8514059961
Chabo,Hunter,True,https://raid.report/pgcr/8514074760
Snow,Hunter,True,https://raid.report/pgcr/8514074760
Jake,Titan,True,https://raid.report/pgcr/8514074760
Tazus,Warlock,True,https://raid.report/pgcr/8514074760
Plink,Warlock,True,https://raid.report/pgcr/8514074760
Enigma,Warlock,True,https://raid.report/pgcr/8514074760
qwiik,Hunter,True,https://raid.report/pgcr/8514102154
disco,Warlock,True,https://raid.report/pgcr/8514102154
Duddeguy,Hunter,True,https://raid.report/pgcr/8514102154
Slayerage,Warlock,True,https://raid.report/pgcr/8514102154
tcibz,Warlock,True,https://raid.report/pgcr/8514102154
Gaffer,Titan,True,https://raid.report/pgcr/8514102154
NotoriouslyAlex,Hunter,True,https://raid.report/pgcr/8514126229
Kimo,Warlock,True,https://raid.report/pgcr/8514126229
Hoon,Titan,True,https://raid.report/pgcr/8514126229
JordaNx,Titan,True,https://raid.report/pgcr/8514126229
Skarrow9,Warlock,True,https://raid.report/pgcr/8514126229
Tylenol,Hunter,True,https://raid.report/pgcr/8514126229
Lucass,Warlock,True,https://raid.report/pgcr/8514129429
Red Solo Cup,Warlock,True,https://raid.report/pgcr/8514129429
dandy,Warlock,True,https://raid.report/pgcr/8514129429
iLY,Warlock,True,https://raid.report/pgcr/8514129429
Chanckleta,Hunter,True,https://raid.report/pgcr/8514129429
crit,Titan,True,https://raid.report/pgcr/8514129429
Jimmy,Warlock,True,https://raid.report/pgcr/8514140089
Stealthless,Titan,True,https://raid.report/pgcr/8514140089
Tanner,Warlock,True,https://raid.report/pgcr/8514140089
Valk,Warlock,True,https://raid.report/pgcr/8514140089
Killomainia,Titan,True,https://raid.report/pgcr/8514140089
Disorixnt,Hunter,True,https://raid.report/pgcr/8514140089
Courtsy,Warlock,True,https://raid.report/pgcr/8514152877
redcell,Warlock,True,https://raid.report/pgcr/8514152877
Dilly,Warlock,True,https://raid.report/pgcr/8514152877
Frost,Hunter,True,https://raid.report/pgcr/8514152877
zevo,Titan,True,https://raid.report/pgcr/8514152877
Math,Warlock,True,https://raid.report/pgcr/8514152877
Snow,Titan,True,https://raid.report/pgcr/8514214353
Ragamoo,Hunter,True,https://raid.report/pgcr/8514214353
Dr P Aficionado,Warlock,True,https://raid.report/pgcr/8514214353
QurlyFry,Titan,True,https://raid.report/pgcr/8514214353
Trav,Warlock,True,https://raid.report/pgcr/8514214353
clonk,Titan,True,https://raid.report/pgcr/8514214353
BjarturFO,Hunter,True,https://raid.report/pgcr/8514245439
Drift,Warlock,True,https://raid.report/pgcr/8514245439
PoohSheistenberg,Hunter,True,https://raid.report/pgcr/8514245439
Sniff,Titan,True,https://raid.report/pgcr/8514245439
acey,Warlock,True,https://raid.report/pgcr/8514245439
Granger,Warlock,True,https://raid.report/pgcr/8514245439
VileFate,Hunter,True,https://raid.report/pgcr/8514289346
Vandal,Warlock,True,https://raid.report/pgcr/8514289346
Bacon,Warlock,True,https://raid.report/pgcr/8514289346
Frenchie,Warlock,True,https://raid.report/pgcr/8514289346
Kento,Titan,True,https://raid.report/pgcr/8514289346
STULSHŶ!,Hunter,True,https://raid.report/pgcr/8514289346
kev,Warlock,True,https://raid.report/pgcr/8514305538
Nick,Warlock,True,https://raid.report/pgcr/8514305538
Griff,Warlock,True,https://raid.report/pgcr/8514305538
Den,Hunter,True,https://raid.report/pgcr/8514305538
