Player Name,Class,Cleared,Clear Link
Slap,Warlock,True,https://raid.report/pgcr/10332099402
Quazz,Hunter,True,https://raid.report/pgcr/10332099402
Cruz,Titan,True,https://raid.report/pgcr/10332099402
Kyros,Warlock,True,https://raid.report/pgcr/10332099402
Moople,Warlock,True,https://raid.report/pgcr/10332099402
Saltagreppo,Titan,True,https://raid.report/pgcr/10332099402
Mork,Warlock,True,https://raid.report/pgcr/10332124746
Semi,Warlock,True,https://raid.report/pgcr/10332124746
Datto,Titan,True,https://raid.report/pgcr/10332124746
iihavetoes,Warlock,True,https://raid.report/pgcr/10332124746
Cyth,Warlock,True,https://raid.report/pgcr/10332124746
Sneak,Hunter,True,https://raid.report/pgcr/10332124746
SK,Titan,True,https://raid.report/pgcr/10332225467
Grangalf,Titan,True,https://raid.report/pgcr/10332225467
Osiris,Titan,True,https://raid.report/pgcr/10332225467
konform,Titan,True,https://raid.report/pgcr/10332225467
Roen,Hunter,True,https://raid.report/pgcr/10332225467
Punz,Titan,True,https://raid.report/pgcr/10332225467
konform,Warlock,False,https://raid.report/pgcr/10332225467
Roen,Warlock,False,https://raid.report/pgcr/10332225467
Punz,Hunter,False,https://raid.report/pgcr/10332225467
qwerps,Warlock,True,https://raid.report/pgcr/10332436334
Juzo,Warlock,True,https://raid.report/pgcr/10332436334
Drambis,Warlock,True,https://raid.report/pgcr/10332436334
CEO OF FUTA,Titan,True,https://raid.report/pgcr/10332436334
FerVoras,Titan,True,https://raid.report/pgcr/10332436334
"Shymyn, The Abomination",Hunter,True,https://raid.report/pgcr/10332436334
redcell,Warlock,True,https://raid.report/pgcr/10332448085
Courtsy,Warlock,True,https://raid.report/pgcr/10332448085
zevo,Titan,True,https://raid.report/pgcr/10332448085
Panora,Warlock,True,https://raid.report/pgcr/10332448085
Dilly,Warlock,True,https://raid.report/pgcr/10332448085
Math,Hunter,True,https://raid.report/pgcr/10332448085
Savurn,Warlock,True,https://raid.report/pgcr/10332599318
Fakes,Hunter,True,https://raid.report/pgcr/10332599318
Vanguard,Titan,True,https://raid.report/pgcr/10332599318
NoeL,Warlock,True,https://raid.report/pgcr/10332599318
Knocker,Warlock,True,https://raid.report/pgcr/10332599318
Apple...,Warlock,True,https://raid.report/pgcr/10332599318
Fatebringer,Warlock,True,https://raid.report/pgcr/10332626675
Artzy,Hunter,True,https://raid.report/pgcr/10332626675
Lok,Warlock,True,https://raid.report/pgcr/10332626675
oskara555,Warlock,True,https://raid.report/pgcr/10332626675
Eko,Warlock,True,https://raid.report/pgcr/10332626675
Pine,Hunter,True,https://raid.report/pgcr/10332626675
Kaizer,Titan,True,https://raid.report/pgcr/10332655160
Sat,Hunter,True,https://raid.report/pgcr/10332655160
Anxious,Warlock,True,https://raid.report/pgcr/10332655160
Maxim,Warlock,True,https://raid.report/pgcr/10332655160
Twicemas,Warlock,True,https://raid.report/pgcr/10332655160
Mape,Warlock,True,https://raid.report/pgcr/10332655160
OG,Titan,True,https://raid.report/pgcr/10332755423
Niko,Hunter,True,https://raid.report/pgcr/10332755423
Kefla,Warlock,True,https://raid.report/pgcr/10332755423
Darling,Warlock,True,https://raid.report/pgcr/10332755423
GuhMan,Warlock,True,https://raid.report/pgcr/10332755423
seraph,Warlock,True,https://raid.report/pgcr/10332755423
Styx,Warlock,True,https://raid.report/pgcr/10332790398
Auru,Titan,True,https://raid.report/pgcr/10332790398
Will,Warlock,True,https://raid.report/pgcr/10332790398
Brutzelmann,Warlock,True,https://raid.report/pgcr/10332790398
Borat,Hunter,True,https://raid.report/pgcr/10332790398
ben.,Warlock,True,https://raid.report/pgcr/10332790398
p2wr,Warlock,True,https://raid.report/pgcr/10332823997
Ultra,Hunter,True,https://raid.report/pgcr/10332823997
Nubu,Titan,True,https://raid.report/pgcr/10332823997
dinseN,Titan,True,https://raid.report/pgcr/10332823997
Kenyusa,Warlock,True,https://raid.report/pgcr/10332823997
Luti,Hunter,True,https://raid.report/pgcr/10332823997
Apr,Warlock,True,https://raid.report/pgcr/10332960451
Saffron,Warlock,True,https://raid.report/pgcr/10332960451
bI,Warlock,True,https://raid.report/pgcr/10332960451
イルル,Warlock,True,https://raid.report/pgcr/10332960451
PoseidonzKiss,Titan,True,https://raid.report/pgcr/10332960451
StormSpirit,Warlock,True,https://raid.report/pgcr/10332960451
iiGamerr Connor,Warlock,True,https://raid.report/pgcr/10333035808
Airborn,Titan,True,https://raid.report/pgcr/10333035808
bohdi,Hunter,True,https://raid.report/pgcr/10333035808
Makro,Warlock,True,https://raid.report/pgcr/10333035808
Quickz,Warlock,True,https://raid.report/pgcr/10333035808
sacrifice,Warlock,True,https://raid.report/pgcr/10333035808
ward,Titan,True,https://raid.report/pgcr/10333120117
barbuxx,Titan,True,https://raid.report/pgcr/10333120117
Reminiscent,Warlock,True,https://raid.report/pgcr/10333120117
Forgiven,Hunter,True,https://raid.report/pgcr/10333120117
Mason,Warlock,True,https://raid.report/pgcr/10333120117
DeliriousJC,Warlock,True,https://raid.report/pgcr/10333120117
disco,Warlock,False,https://raid.report/pgcr/10333120117
Skane,Warlock,True,https://raid.report/pgcr/10333163573
Blue4Flame,Titan,True,https://raid.report/pgcr/10333163573
TiNY,Warlock,True,https://raid.report/pgcr/10333163573
Plankton,Hunter,True,https://raid.report/pgcr/10333163573
Lacuna,Warlock,True,https://raid.report/pgcr/10333163573
SpecialHero,Hunter,True,https://raid.report/pgcr/10333163573
Eron1x,Warlock,True,https://raid.report/pgcr/10333270913
Loges,Titan,True,https://raid.report/pgcr/10333270913
Cap,Titan,True,https://raid.report/pgcr/10333270913
Troy sn,Hunter,True,https://raid.report/pgcr/10333270913
B3h1nd Y0u,Warlock,True,https://raid.report/pgcr/10333270913
buster,Warlock,True,https://raid.report/pgcr/10333270913
sacred,Titan,True,https://raid.report/pgcr/10333289654
Afterlife,Titan,True,https://raid.report/pgcr/10333289654
Valentyner,Warlock,True,https://raid.report/pgcr/10333289654
towa,Warlock,True,https://raid.report/pgcr/10333289654
Ccanfield,Hunter,True,https://raid.report/pgcr/10333289654
Glacia,Warlock,True,https://raid.report/pgcr/10333289654
God Emperor Zyllyan,Hunter,True,https://raid.report/pgcr/10333329766
