Player Name,Class,Cleared,Clear Link
luigistyle,Warlock,False,https://dungeon.report/pgcr/15875673805
Mariomonkey,Warlock,False,https://dungeon.report/pgcr/15875673805
Biggz,Hunter,False,https://dungeon.report/pgcr/15875673805
Biggz,Titan,False,https://dungeon.report/pgcr/15875673805
Mariomonkey,Titan,False,https://dungeon.report/pgcr/15875673805
Fayox,Titan,True,https://dungeon.report/pgcr/15875715946
Limso,Hunter,True,https://dungeon.report/pgcr/15875715946
Haze,Warlock,True,https://dungeon.report/pgcr/15875715946
Gjallarhorn,Titan,True,https://dungeon.report/pgcr/15875752273
Blue,Warlock,True,https://dungeon.report/pgcr/15875752273
Vera,Hunter,True,https://dungeon.report/pgcr/15875752273
Vera,Warlock,False,https://dungeon.report/pgcr/15875752273
JUICER,Titan,True,https://dungeon.report/pgcr/15875760397
exilelol,Warlock,True,https://dungeon.report/pgcr/15875760397
Shadowstep,Warlock,True,https://dungeon.report/pgcr/15875760397
Shadowstep,Titan,False,https://dungeon.report/pgcr/15875760397
Vendetta,Titan,True,https://dungeon.report/pgcr/15875775806
Reminiscent,Hunter,True,https://dungeon.report/pgcr/15875775806
Zazzy,Warlock,True,https://dungeon.report/pgcr/15875775806
Xemo,Titan,True,https://dungeon.report/pgcr/15875778068
ATP,Hunter,True,https://dungeon.report/pgcr/15875778068
DadBot,Warlock,True,https://dungeon.report/pgcr/15875778068
Flarpes,Titan,True,https://dungeon.report/pgcr/15875780134
TStorm,Warlock,True,https://dungeon.report/pgcr/15875780134
Artzy,Hunter,True,https://dungeon.report/pgcr/15875780134
Vertigo,Warlock,False,https://dungeon.report/pgcr/15875780134
Jaikre,Warlock,True,https://dungeon.report/pgcr/15875780322
Teye,Warlock,True,https://dungeon.report/pgcr/15875780322
uzi,Hunter,True,https://dungeon.report/pgcr/15875780322
uzi,Titan,False,https://dungeon.report/pgcr/15875780322
Teye,Titan,False,https://dungeon.report/pgcr/15875780322
Jaikre,Titan,False,https://dungeon.report/pgcr/15875780322
The Almighty Glorp,Titan,True,https://dungeon.report/pgcr/15875783648
Poseidon,Hunter,True,https://dungeon.report/pgcr/15875783648
T3mplar,Warlock,True,https://dungeon.report/pgcr/15875783648
Poseidon,Warlock,False,https://dungeon.report/pgcr/15875783648
SpecialHero,Titan,True,https://dungeon.report/pgcr/15875787387
Tides,Warlock,True,https://dungeon.report/pgcr/15875787387
Pine,Hunter,True,https://dungeon.report/pgcr/15875787387
Fluix,Hunter,True,https://dungeon.report/pgcr/15875787382
Unique,Titan,True,https://dungeon.report/pgcr/15875787382
EternityApex,Warlock,True,https://dungeon.report/pgcr/15875787382
柠柠,Warlock,True,https://dungeon.report/pgcr/15875788032
梦梦,Hunter,True,https://dungeon.report/pgcr/15875788032
HANHAN,Titan,True,https://dungeon.report/pgcr/15875788032
Gaffer,Titan,True,https://dungeon.report/pgcr/15875788570
razorcut,Hunter,True,https://dungeon.report/pgcr/15875788570
Noah,Warlock,True,https://dungeon.report/pgcr/15875788570
Erix,Titan,True,https://dungeon.report/pgcr/15875799398
Nova,Warlock,True,https://dungeon.report/pgcr/15875799398
Nick,Warlock,True,https://dungeon.report/pgcr/15875799398
Nova,Hunter,False,https://dungeon.report/pgcr/15875799398
萌动,Titan,True,https://dungeon.report/pgcr/15875800566
Dyrachyo,Warlock,True,https://dungeon.report/pgcr/15875800566
MiliMiliBomb,Warlock,True,https://dungeon.report/pgcr/15875800566
MiliMiliBomb,Titan,False,https://dungeon.report/pgcr/15875800566
MOOSKIA,Titan,True,https://dungeon.report/pgcr/15875804072
qubert,Warlock,True,https://dungeon.report/pgcr/15875804072
659,Warlock,True,https://dungeon.report/pgcr/15875804072
Titan Skate,Titan,True,https://dungeon.report/pgcr/15875806754
jjreptile,Warlock,True,https://dungeon.report/pgcr/15875806754
Auxfo,Titan,True,https://dungeon.report/pgcr/15875806754
Toowoombian,Titan,True,https://dungeon.report/pgcr/15875805240
Deadra,Warlock,True,https://dungeon.report/pgcr/15875805240
Ken Carson,Hunter,True,https://dungeon.report/pgcr/15875805240
Ken Carson,Titan,False,https://dungeon.report/pgcr/15875805240
JJ,Warlock,True,https://dungeon.report/pgcr/15875811357
Vinilla,Titan,True,https://dungeon.report/pgcr/15875811357
JK,Hunter,True,https://dungeon.report/pgcr/15875811357
HarryFirefly,Titan,True,https://dungeon.report/pgcr/15875816130
Marza,Warlock,True,https://dungeon.report/pgcr/15875816130
Kami,Warlock,True,https://dungeon.report/pgcr/15875816130
Flaccid,Titan,True,https://dungeon.report/pgcr/15875821945
SinisterDark,Titan,True,https://dungeon.report/pgcr/15875821945
ShaRp_,Warlock,True,https://dungeon.report/pgcr/15875821945
Dabs,Titan,True,https://dungeon.report/pgcr/15875823602
Ham,Warlock,True,https://dungeon.report/pgcr/15875823602
Silken,Warlock,True,https://dungeon.report/pgcr/15875823602
Serpe,Titan,True,https://dungeon.report/pgcr/15876475579
zRaptor,Titan,True,https://dungeon.report/pgcr/15876475579
GiornoG,Warlock,True,https://dungeon.report/pgcr/15876475579
Xeed,Titan,True,https://dungeon.report/pgcr/15875828229
Yukθn,Warlock,True,https://dungeon.report/pgcr/15875828229
Speed,Hunter,True,https://dungeon.report/pgcr/15875828229
Speed,Warlock,False,https://dungeon.report/pgcr/15875828229
SuouYuki,Titan,True,https://dungeon.report/pgcr/15875828228
cmccwc,Titan,True,https://dungeon.report/pgcr/15875828228
小王,Warlock,False,https://dungeon.report/pgcr/15875828228
Twist of mind,Warlock,True,https://dungeon.report/pgcr/15875834917
nietcool,Titan,True,https://dungeon.report/pgcr/15875834917
Venom,Hunter,True,https://dungeon.report/pgcr/15875834917
Destreza,Warlock,True,https://dungeon.report/pgcr/15875839882
Fir,Warlock,False,https://dungeon.report/pgcr/15875839882
9mice,Warlock,False,https://dungeon.report/pgcr/15875839882
Fir,Hunter,False,https://dungeon.report/pgcr/15875839882
milito,Warlock,True,https://dungeon.report/pgcr/15876487718
mitcH,Warlock,True,https://dungeon.report/pgcr/15876487718
Enskeria,Titan,True,https://dungeon.report/pgcr/15876487718
Enskeria,Warlock,False,https://dungeon.report/pgcr/15876487718
Jake,Warlock,True,https://dungeon.report/pgcr/15875846679
Tyraxe,Warlock,True,https://dungeon.report/pgcr/15875846679
DrakathShadow,Warlock,True,https://dungeon.report/pgcr/15875846679
Onionbert21,Titan,True,https://dungeon.report/pgcr/15875846160
RosaNagashi,Titan,True,https://dungeon.report/pgcr/15875846160
Jellyback Joe,Warlock,True,https://dungeon.report/pgcr/15875846160
GoofyGoose,Titan,True,https://dungeon.report/pgcr/15875849252
Arb,Warlock,True,https://dungeon.report/pgcr/15875849252
Chief,Hunter,True,https://dungeon.report/pgcr/15875849252
Chief,Titan,False,https://dungeon.report/pgcr/15875849252
Tea,Warlock,True,https://dungeon.report/pgcr/15875848063
Dwylow,Hunter,True,https://dungeon.report/pgcr/15875848063
DPeezy,Warlock,True,https://dungeon.report/pgcr/15875848063
kepy!,Titan,True,https://dungeon.report/pgcr/15875855237
x7ide,Titan,True,https://dungeon.report/pgcr/15875855237
Geschlechtswerkehr,Warlock,True,https://dungeon.report/pgcr/15875855237
Geschlechtswerkehr,Titan,False,https://dungeon.report/pgcr/15875855237
Ry,Hunter,True,https://dungeon.report/pgcr/15875852385
King Damage,Warlock,True,https://dungeon.report/pgcr/15875852385
